Name,CountLine,CountCode,Cyclomatic
C:\Data\Platform\Source\Layer1\AAA.c,276,161,30
C:\Data\Platform\Source\Layer1\BBB.c,282,147,33
C:\Data\Platform\Source\Layer1\CCC.c,237,195,16
C:\Data\Platform\Source\Layer2\DDD.c,245,81,13
C:\Data\Platform\Source\Layer2\EEE.c,279,27,2
C:\Data\Platform\Source\Layer2\FFF.c,196,164,23
C:\Data\Platform\Source\Layer3\GGG.c,254,181,19
C:\Data\Platform\Source\Layer3\HHH.c,231,177,30
C:\Data\Platform\Source\Layer4\III.c,241,195,19
C:\Data\Platform\Source\Layer4\JJJ.c,295,133,25
C:\Data\Platform\Source\Layer4\KKK.c,488,510,1
C:\Data\Platform\Source\Layer4\LLL.c,562,508,1
C:\Data\Platform\Source\Layer4\MMM.c,591,330,68
C:\Data\Platform\Source\Layer4\NNN.c,580,193,42
C:\Data\Platform\Source\Layer5\OOO.c,250,233,22
C:\Data\Platform\Source\Layer5\PPP.c,403,251,19
C:\Data\Platform\Source\Layer5\QQQ.c,339,350,13
C:\Data\Platform\Source\Layer6\RRR.c,349,66,13
C:\Data\Platform\Source\Layer7\SSS.c,512,337,127
C:\Data\Platform\Source\Layer7\TTT.c,488,510,5
C:\Data\Platform\Source\Layer7\UUU.c,544,603,5
C:\Data\Platform\Source\Layer7\VVV.c,544,603,6
C:\Data\Platform\Source\Layer8\WWW.c,544,603,3
C:\Data\Platform\Source\Layer8\XXX.c,544,603,0
C:\Data\Platform\Source\Layer8\YYY.c,640,52,0
C:\Data\Platform\Source\Layer8\ZZZ.c,697,459,107
